name,url
Ancient Egypt,ancient-egyptian-painting
Ancient Greek Painting and Sculpture,ancient-greek-painting
Cricorps,koboyan-gregoire
Lorenzo Ghiberti,ghiberti
Il Sassetta (Stefano di Giovanni),sassetta
Andrea del Verrocchio,andrea-del-verrochio
"Francesco de' Rossi (Francesco Salviati), ""Cecchino""",francesco-de-rossi-francesco-salviati
M.C. Escher,m-c-escher
Charles-Andre van Loo (Carle van Loo),charles-andre-van-loo-carle-van-loo
Marie-Gabrielle Capet,marie-gabrielle-capet-0
Pierre-Paul Prud'hon,pierre-paul-prud-hon
Sylvester Shchedrin,silvestr-shchedrin
Albrecht Anker,albert-anker
José Garnelo,jose-santiago-garnelo-y-alda
Giovanni (Nino) Costa,giovanni-costa
J.M.W. Turner,william-turner
Thomas Fearnley,en/thomas-fearnley
Piotr Michałowski,piotr-michalowski
Ivan Mrkviсka,ivan-mrkvicka
Herbert Gustave Schmalz (Herbert Carmichael),herbert-gustave-schmalz
Rafael García Hispaleto (El Hispaleto),el-hispaleto
Alexei Korzukhin,aleksey-ivanovich-korzukhin
Alexey  Bogolyubov,alexey-bogolyubov
Józef Chełmoński,jozef-chelmonski
John O'Connor,john-o-connor
Leon Wyczółkowski,leon-wyczolkowski
N.C. Wyeth,n-c-wyeth
Paweł Kluza,kluza
Stanisław Szukalski,stanislaw-szukalski
Vahram Gayfedjian,vahram-gaifedjyan
Roderic O'Conor,roderic-oconor
Oleksa Novakivskyi,oleksa-novakivskiy
A.Y. Jackson,a-y-jackson
Frank O'Meara,frank-omeara
Stanisław Wyspiański,stanislaw-wyspianski
Soltan Soltanlı,soltan-soltanli
Marevna (Marie Vorobieff),marevna-marie-vorobieff
"Olusola David, Ayibiowu",en/olusola-david-ayibiowu
Georgia O'Keeffe,georgia-o-keeffe
Stanisław Ignacy Witkiewicz,stanislaw-ignacy-witkiewicz
Yuri Zlotnikov,yuriy-zlotnikov
M.F. Husain,m-f-husain
Stig Brøgger,stig-brogger
Georges Troubat,troubat-georges
di Mauro,maurizio-dandrea
Goran Despotovski,en/goran-despotovski
Babak-Matveev,art-tandem-bm-babak-matvieiev
Włodzimierz Zakrzewski,wlodzimierz-zakrzewski
Vajiha Samadova,v-cih-s-m-dova
Vlady,vlady-kibalchich-rusakov
Rose O'Neill,rose-oneill
Carl Holsøe,carl-holsoe
Chaim Goldberg,en/chaim-goldberg
YiFei  Chen,yifei-chen
Aleksander Belyaev,alexander-belyaev
Goran Vojinovic,vog
Enrique Silvestre,silvestre
Yun Hyong–keun,yun-hyong-keun
Ilse D'Hollander,ilse-dhollander
"Robert De Niro, Sr.",robert-de-niro-sr
Zani Corrado,corrado-zani
Hifa Cybe,luiza-prado
Petro Kholodny (Elder),petro-kholodny-elder
Christian Attersee,christian-ludwig-attersee
Allan D'Arcangelo,allan-d-arcangelo
Yuriy Khymych,khimich-yuriy-ivanovich
Varnette Honeywood,varnette-p-honeywood
Iain Baxter&,iain-baxter
Bernd and Hilla Becher,bernd-und-hilla-becher
Jorge Pardo,jorge-prado
Georg Miciú,georg
Laolu Senbanjo,laolu-nyc
Miss.Tic,miss-tic
Luis Álvarez Roure,luis-alvare-roure
Shin Yoon-bok,yoon-bok-shin